variable,coef,se,ci_lo,ci_hi,event_time,outcome
et_7,-1.8107811400422995,0.5824292992918216,-2.95234256665427,-0.669219713430329,7.0,unemployment
et_8,-1.2579310344827928,0.4681300403548823,-2.1754659135783623,-0.34039615538722345,8.0,unemployment
et_9,-0.8877792299185956,0.38956319156042946,-1.6513230853770373,-0.12423537446015387,9.0,unemployment
et_10,-1.443192922489271,0.4165807410292356,-2.259691174906573,-0.6266946700719692,10.0,unemployment
et_11,-1.447837538956551,0.44585981595699964,-2.32172277823227,-0.5739522996808317,11.0,unemployment
et_12,-1.3731718105961175,0.42655855037897733,-2.209226569338913,-0.5371170518533219,12.0,unemployment
et_13,-1.3614898964512505,0.43540541909698416,-2.214884517881339,-0.5080952750211616,13.0,unemployment
et_14,-1.5024670755002125,0.44670416195507273,-2.378007232932155,-0.62692691806827,14.0,unemployment
et_15,-0.7344465668041438,0.4108495200543764,-1.5397116261107215,0.070818492502434,15.0,unemployment
et_16,-0.4077551020408224,0.35584433603744464,-1.1052100006742138,0.2896997965925691,16.0,unemployment
et_17,0.025290037197097492,0.32147059851931375,-0.6047923359007574,0.6553724102949525,17.0,unemployment
et_18,0.27877349954756936,0.22777601610058829,-0.1676674920095837,0.7252144911047225,18.0,unemployment
et_19,0.34353674474708507,0.16889050937798977,0.01251134636622514,0.6745621431279449,19.0,unemployment
et_20,0.39061626621088646,0.1390934291530793,0.11799314507085107,0.6632393873509219,20.0,unemployment
et_neg1_ref,0.0,0.0,0.0,0.0,-1.0,ln_wages_avg
et_3,0.020391572214111586,0.016814749987969276,-0.012565337762308192,0.053348482190531364,3.0,ln_wages_avg
et_4,0.01394428888744991,0.016638612074296066,-0.01866739077817038,0.046555968553070204,4.0,ln_wages_avg
et_5,0.0013236439425130173,0.015714678012604004,-0.029477124962190827,0.032124412847216864,5.0,ln_wages_avg
et_6,-0.004840776277948924,0.015518109537304363,-0.03525627097106548,0.025574718415167626,6.0,ln_wages_avg
et_7,-0.005995858057227737,0.015482626575721335,-0.03634180614564155,0.02435009003118608,7.0,ln_wages_avg
et_8,-0.008484646431919152,0.015463648879272566,-0.03879339823529338,0.02182410537145508,8.0,ln_wages_avg
et_9,-0.010548925485001697,0.015500495120554446,-0.040929895921288414,0.019832044951285016,9.0,ln_wages_avg
et_10,-0.004516464193764517,0.015134139874245025,-0.03417937834728477,0.02514644995975573,10.0,ln_wages_avg
et_11,-0.011563316283616983,0.015319069241881617,-0.04158869199770495,0.018462059430470988,11.0,ln_wages_avg
et_12,-0.014471955604470673,0.015583227432817757,-0.045015081372793475,0.01607117016385213,12.0,ln_wages_avg
et_13,-0.019094778833671076,0.015094048256390947,-0.04867911341619734,0.01048955574885518,13.0,ln_wages_avg
et_14,-0.014498201753684886,0.014742525375109115,-0.04339355148889875,0.01439714798152898,14.0,ln_wages_avg
et_15,-0.020337112551560756,0.014173686646323411,-0.04811753837835464,0.007443313275233128,15.0,ln_wages_avg
et_16,-0.016115527258956007,0.013705543946301725,-0.04297839339370739,0.010747338875795372,16.0,ln_wages_avg
et_17,-0.016518873831509646,0.01352811911153688,-0.04303398729012193,0.009996239627102638,17.0,ln_wages_avg
et_18,-0.023705050336765517,0.012902515426004652,-0.04899398057173464,0.0015838798982036016,18.0,ln_wages_avg
et_19,-0.024139801427430628,0.013047700194457617,-0.04971329380856756,0.0014336909537063028,19.0,ln_wages_avg
et_20,-0.016057116683593622,0.012230200514469056,-0.04002830969195297,0.007914076324765727,20.0,ln_wages_avg
